"ProductCode","ProductName","ProductVersion","OpSystemCode","MfgCode","Language","ApplicationType"
1,"Norton Utilities","2.0 WinNT 4.0","WINNT","SYM","English","Utility"
2,"CRT","2.4","Gen","Unknown","English","Telnet"
7,"Harvard Graphics","3.0 Upgrade","DOS","SPC","English","Presentation"
8,"ScreenShow","N/A","DOS","SPC","English","Screen Saver"
9,"Norton Utilities","8","DOS","SYM","English","Utility"
9,"Norton Utilities","8","Gen","SYM","English","Utility"
9,"Norton Utilities","8","WIN","SYM","English","Utility"
14,"FastTrackSchedule","Windows","WIN","AEC","English","Calendar"
16,"Report Writer","N/A","DOS","CLA","English","Reports"
16,"Report Writer","N/A","DOS2.1","CLA","English","Reports"
16,"Report Writer","N/A","DOS2.11","CLA","English","Reports"
16,"Report Writer","N/A","DOS3.1","CLA","English","Reports"
16,"Report Writer","N/A","DOS3.3","CLA","English","Reports"
16,"Report Writer","N/A","DOS3.5","CLA","English","Reports"
16,"Report Writer","N/A","MSDOS5","CLA","English","Reports"
16,"Report Writer","N/A","dos621","CLA","English","Reports"
17,"R&R Report Writer","4","DOS","CDS","English","Reports"
17,"R&R Report Writer","4","DOS3.1","CDS","English","Reports"
17,"R&R Report Writer","4","DOS3.3","CDS","English","Reports"
17,"R&R Report Writer","4","DOS3.5","CDS","English","Reports"
17,"R&R Report Writer","4","DOS6.22","CDS","English","Reports"
17,"R&R Report Writer","4","DOS6.3","CDS","English","Reports"
17,"R&R Report Writer","4","MSDOS5","CDS","English","Reports"
17,"R&R Report Writer","4","dos621","CDS","English","Reports"
18,".eXML","1.1","WINNT4.0","EXCELON","English","eBusiness"
19,"1-2-3 - evaluation copy","Release 4","WIN","Lotus","English","Spreadsheet"
22,"FinePrint","1.2","Gen","FinePrint","English","Utility"
25,"Windows 3.1","NA","WIN31","Microsoft","English","Operating System"
27,"WordPerfect","5.1","DOS","WordPerfect","English","Word Processor"
29,"FaceLift","2.0","DOS","Bitstream","English","Font Utility"
31,"Procomm Plus","N/A","DOS","Procomm","English","Communications"
31,"Procomm Plus","N/A","DOS2.1","Procomm","English","Communications"
31,"Procomm Plus","N/A","DOS2.11","Procomm","English","Communications"
31,"Procomm Plus","N/A","DOS3.1","Procomm","English","Communications"
31,"Procomm Plus","N/A","DOS3.3","Procomm","English","Communications"
31,"Procomm Plus","N/A","DOS3.5","Procomm","English","Communications"
31,"Procomm Plus","N/A","DOS6.22","Procomm","English","Communications"
31,"Procomm Plus","N/A","DOS6.3","Procomm","English","Communications"
31,"Procomm Plus","N/A","MSDOS5","Procomm","English","Communications"
31,"Procomm Plus","N/A","dos621","Procomm","English","Communications"
32,"Street Atlas USA","4.0","WIN","DeLorme","English","Utility"
32,"Street Atlas USA","4.0","WIN31","DeLorme","English","Utility"
32,"Street Atlas USA","4.0","WIN95","DeLorme","English","Utility"
32,"Street Atlas USA","4.0","WIN98","DeLorme","English","Utility"
